Funcion objetivo: 240.0 (integer optimal solution)

Variables x_ != 0:
  x_0_6 = 1.0
  x_36_0 = 1.0
  x_8_1 = 1.0
  x_1_9 = 1.0
  x_3_2 = 1.0
  x_2_8 = 1.0
  x_4_3 = 1.0
  x_5_4 = 1.0
  x_13_5 = 1.0
  x_6_14 = 1.0
  x_7_13 = 1.0
  x_14_7 = 1.0
  x_9_17 = 1.0
  x_16_10 = 1.0
  x_10_18 = 1.0
  x_12_11 = 1.0
  x_11_19 = 1.0
  x_18_12 = 1.0
  x_22_15 = 1.0
  x_15_23 = 1.0
  x_24_16 = 1.0
  x_17_25 = 1.0
  x_19_27 = 1.0
  x_21_20 = 1.0
  x_20_26 = 1.0
  x_28_21 = 1.0
  x_30_22 = 1.0
  x_23_29 = 1.0
  x_25_24 = 1.0
  x_26_32 = 1.0
  x_27_35 = 1.0
  x_35_28 = 1.0
  x_29_36 = 1.0
  x_37_30 = 1.0
  x_31_38 = 1.0
  x_39_31 = 1.0
  x_32_33 = 1.0
  x_33_41 = 1.0
  x_34_40 = 1.0
  x_42_34 = 1.0
  x_43_37 = 1.0
  x_38_45 = 1.0
  x_47_39 = 1.0
  x_40_46 = 1.0
  x_41_48 = 1.0
  x_49_42 = 1.0
  x_44_43 = 1.0
  x_45_44 = 1.0
  x_46_47 = 1.0
  x_48_49 = 1.0

Variables y_ != 0:

Otras variables (u_, p_):
  u_0 = 0.0
  u_1 = 10.0
  u_2 = 8.0
  u_3 = 7.0
  u_4 = 6.0
  u_5 = 5.0
  u_6 = 1.0
  u_7 = 3.0
  u_8 = 9.0
  u_9 = 11.0
  u_10 = 16.0
  u_11 = 19.0
  u_12 = 18.0
  u_13 = 4.0
  u_14 = 2.0
  u_15 = 46.0
  u_16 = 15.0
  u_17 = 12.0
  u_18 = 17.0
  u_19 = 20.0
  u_20 = 25.0
  u_21 = 24.0
  u_22 = 45.0
  u_23 = 47.0
  u_24 = 14.0
  u_25 = 13.0
  u_26 = 26.0
  u_27 = 21.0
  u_28 = 23.0
  u_29 = 48.0
  u_30 = 44.0
  u_31 = 38.0
  u_32 = 27.0
  u_33 = 28.0
  u_34 = 33.0
  u_35 = 22.0
  u_36 = 49.0
  u_37 = 43.0
  u_38 = 39.0
  u_39 = 37.0
  u_40 = 34.0
  u_41 = 29.0
  u_42 = 32.0
  u_43 = 42.0
  u_44 = 41.0
  u_45 = 40.0
  u_46 = 35.0
  u_47 = 36.0
  u_48 = 30.0
  u_49 = 31.0
